molecule_chembl_id,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL68253,NS(=O)(=O)O,97.09499999999998,-1.2520999999999995,2.0,2.0,4.375717904164332
CHEMBL1339340,Cc1ccc2nc(-c3ccc(N)cc3)sc2c1S(=O)(=O)O,320.39500000000004,3.10062,2.0,5.0,4.8696662315049934
CHEMBL3088000,CC1=NN(c2ccc(S(=O)(=O)O)cc2)C(=O)C1,254.26699999999997,1.0459,1.0,4.0,5.214670164989233
CHEMBL3087999,Nc1c(O)cc(S(=O)(=O)O)c2cc([N+](=O)[O-])ccc12,284.249,1.2825,3.0,6.0,4.3872161432802645
CHEMBL3087998,Nc1ccc(Nc2ccc([N+](=O)[O-])cc2)c(S(=O)(=O)O)c1,309.30300000000005,2.1673,3.0,6.0,4.3223930472795065
CHEMBL1566888,Nc1ccc(S(=O)(=O)O)cc1,173.193,0.5155000000000001,2.0,3.0,5.086186147616283
CHEMBL3087996,NC(=O)Nc1ccc2cc(S(=O)(=O)O)cc(O)c2c1,282.277,1.2827000000000002,4.0,4.0,4.515700160653214
CHEMBL60494,Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(O)c12,319.31600000000003,0.6209999999999998,4.0,6.0,4.661543506395395
CHEMBL3087995,Nc1ccc2cc(S(=O)(=O)O)cc(O)c2c1,239.252,1.3743,3.0,4.0,5.87942606879415
CHEMBL3799629,COC1Oc2ccccc2C(=O)/C1=C\Nc1ccc(S(N)(=O)=O)cc1,360.3910000000001,1.8776,2.0,6.0,5.148130399270234
CHEMBL3797302,COC1Oc2ccccc2C(=O)/C1=C\Nc1cccc(S(N)(=O)=O)c1,360.3910000000001,1.8776000000000002,2.0,6.0,6.42021640338319
CHEMBL3799469,COC1Oc2ccccc2C(=O)/C1=C\Nc1ccccc1S(N)(=O)=O,360.3910000000001,1.8776,2.0,6.0,5.718966632752273
CHEMBL3797640,COC1Oc2ccc(Cl)cc2C(=O)/C1=C\Nc1ccc(S(N)(=O)=O)cc1,394.8360000000001,2.5309999999999997,2.0,6.0,5.779891911959945
CHEMBL3799691,COC1Oc2ccc(Cl)cc2C(=O)/C1=C\Nc1cccc(S(N)(=O)=O)c1,394.8360000000001,2.5309999999999997,2.0,6.0,6.251811972993799
CHEMBL3799027,COC1Oc2ccc(Cl)cc2C(=O)/C1=C\Nc1ccccc1S(N)(=O)=O,394.8360000000001,2.530999999999999,2.0,6.0,5.8696662315049934
CHEMBL3798620,COC1Oc2c(Cl)cc(Cl)cc2C(=O)/C1=C\Nc1ccc(S(N)(=O)=O)cc1,429.2810000000001,3.1844,2.0,6.0,5.534617148551582
CHEMBL3800429,COC1Oc2c(Cl)cc(Cl)cc2C(=O)/C1=C\Nc1cccc(S(N)(=O)=O)c1,429.2810000000001,3.1844,2.0,6.0,6.013228265733755
CHEMBL3800324,COC1Oc2c(Cl)cc(Cl)cc2C(=O)/C1=C\Nc1ccccc1S(N)(=O)=O,429.2810000000001,3.184400000000001,2.0,6.0,6.055517327849832
CHEMBL3798555,CC(C)OC1Oc2ccccc2C(=O)/C1=C\Nc1ccc(S(N)(=O)=O)cc1,388.4450000000001,2.6562,2.0,6.0,5.931814138253839
CHEMBL3798753,CC(C)OC1Oc2ccccc2C(=O)/C1=C\Nc1cccc(S(N)(=O)=O)c1,388.4450000000001,2.6562,2.0,6.0,6.542118103266008
CHEMBL3800455,CCCCOC1Oc2ccccc2C(=O)/C1=C\Nc1ccc(S(N)(=O)=O)cc1,402.47200000000015,3.0479000000000003,2.0,6.0,5.87942606879415
CHEMBL3798795,CCCCOC1Oc2ccccc2C(=O)/C1=C\Nc1cccc(S(N)(=O)=O)c1,402.47200000000015,3.0479000000000003,2.0,6.0,6.423658649794207
CHEMBL4126132,Cc1ccc(NC2=Nc3c(O)cc(Cl)cc3S(=O)(=O)N2)cc1,337.78800000000007,2.74552,3.0,5.0,6.0
CHEMBL4129881,CN(C)C(=O)Cc1cccc(NC2=Nc3c(O)cc(Cl)cc3S(=O)(=O)N2)c1,408.86700000000013,2.0678,3.0,6.0,5.499999678657065
CHEMBL4126605,O=S1(=O)NC(Nc2cccc3[nH]ccc23)=Nc2c(O)cc(Cl)cc21,362.79800000000006,2.9184,4.0,5.0,6.499996931948306
CHEMBL4126449,O=S1(=O)NC(Nc2cccc(O)c2)=Nc2c(O)cc(F)cc21,323.30500000000006,1.6283999999999996,4.0,6.0,7.0
CHEMBL4127838,O=S1(=O)N=C(Nc2cc(F)c3[nH]ccc3c2)Nc2c(O)cc(Cl)c(Br)c21,459.6840000000002,4.0108,4.0,5.0,7.199970640755866
CHEMBL4127683,O=S1(=O)NC(Nc2cccc3[nH]ncc23)=Nc2c1cc(Cl)c(F)c2O,381.77600000000007,2.4525,4.0,6.0,7.79997073344623
CHEMBL4287314,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)CP(=O)(O)O)[C@@H](O)[C@@H]1F,461.6670000000001,-0.004500000000000448,5.0,10.0,6.619788758288394
CHEMBL4287314,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)CP(=O)(O)O)[C@@H](O)[C@@H]1F,461.6670000000001,-0.004500000000000448,5.0,10.0,5.494850021680094
CHEMBL4287314,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)CP(=O)(O)O)[C@@H](O)[C@@H]1F,461.6670000000001,-0.004500000000000448,5.0,10.0,6.7447274948966935
CHEMBL4283386,Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)CP(=O)(O)O)O1,443.67700000000013,0.04749999999999954,5.0,10.0,5.698970004336019
CHEMBL4283386,Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)CP(=O)(O)O)O1,443.67700000000013,0.04749999999999954,5.0,10.0,3.83238732727247
CHEMBL4276670,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)CP(=O)(O)O)[C@@H](O)[C@@H]1O,443.2210000000001,-1.4960000000000007,6.0,11.0,3.95116991347165
CHEMBL4276670,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)CP(=O)(O)O)[C@@H](O)[C@@H]1O,443.2210000000001,-1.4960000000000007,6.0,11.0,5.657577319177793
CHEMBL583969,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)CP(=O)(O)O)[C@@H](O)[C@H]1O,425.23100000000005,-1.6351000000000009,6.0,11.0,5.42021640338319
CHEMBL583969,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)CP(=O)(O)O)[C@@H](O)[C@H]1O,425.23100000000005,-1.6351000000000009,6.0,11.0,4.669586226650809
CHEMBL583969,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)CP(=O)(O)O)[C@@H](O)[C@H]1O,425.23100000000005,-1.6351000000000009,6.0,11.0,4.627087997029894
CHEMBL4592018,Cc1cccc(-n2nccc2-c2cc(Cl)c3nnn(-c4ccc5cn[nH]c5c4)c3c2)c1,425.88300000000015,5.111320000000004,1.0,6.0,6.657577319177793
CHEMBL4475618,Cc1cccc(-n2nccc2-c2cc(F)c3nnn(-c4ccc5cn[nH]c5c4)c3c2)c1,409.4280000000001,4.597020000000003,1.0,6.0,6.47755576649368
CHEMBL4450136,Cc1cccc(-n2nccc2-c2ccc3nnn(-c4ccc5cn[nH]c5c4)c3c2)c1,391.4380000000001,4.457920000000002,1.0,6.0,6.51427857351842
CHEMBL4475169,Cc1ccc(-n2nccc2-c2ccc3nnn(-c4ccc5cn[nH]c5c4)c3c2)cc1,391.4380000000001,4.457920000000002,1.0,6.0,3.0
CHEMBL4471997,Cc1ccccc1-n1nccc1-c1ccc2nnn(-c3ccc4cn[nH]c4c3)c2c1,391.43800000000016,4.457920000000003,1.0,6.0,3.0
CHEMBL4470469,c1ccc(Cn2nccc2-c2ccc3nnn(-c4ccc5cn[nH]c5c4)c3c2)cc1,391.4380000000001,4.208600000000002,1.0,6.0,5.958607314841775
CHEMBL4586214,c1ccc(-n2nccc2-c2ccc3nnn(-c4ccc5cn[nH]c5c4)c3c2)cc1,377.4110000000001,4.1495000000000015,1.0,6.0,5.045757490560675
CHEMBL4593262,Cn1nccc1-c1ccc2nnn(-c3ccc4cn[nH]c4c3)c2c1,315.34000000000003,2.6973000000000003,1.0,6.0,5.036212172654444
CHEMBL4454095,CCc1cc(-c2ccnn2C)cc2c1nnn2-c1cccc(O)c1,319.368,3.0890000000000013,1.0,6.0,3.853871964321762
CHEMBL4547821,C=Cc1cc(-c2ccnn2C)cc2c1nnn2-c1cccc(O)c1,317.35200000000003,3.169600000000001,1.0,6.0,4.847711655616943
CHEMBL4552735,Cc1cc(-c2ccnn2C)cc2c1nnn2-c1cccc(O)c1,305.34100000000007,2.835020000000001,1.0,6.0,5.292429823902063
CHEMBL4435738,Cn1nccc1-c1cc(C#N)c2nnn(-c3cccc(O)c3)c2c1,316.32400000000007,2.3982800000000006,1.0,7.0,4.920818753952375
CHEMBL4472891,Cn1nccc1-c1cc(Cl)c2nnn(-c3cccc(O)c3)c2c1,325.75900000000007,3.1800000000000015,1.0,6.0,5.769551078621726
CHEMBL4575881,COc1cc(-c2ccnn2C)cc2c1nnn2-c1cccc(O)c1,321.34000000000003,2.5352000000000006,1.0,7.0,3.0
CHEMBL4455683,Cn1nccc1-c1cc(NCCO)c2nnn(-c3cccc(O)c3)c2c1,350.38200000000006,1.9307999999999996,3.0,8.0,4.309803919971486
